leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,photo_url,created_at,updated_at
MTL000182,Jenny Eck,Jenny,,Eck,,,True,mt,lower,79,Democratic,,2013-01-09 19:39:39.591000,2017-06-01 09:07:06.393000
MTL000185,Carl Glimm,Carl,,Glimm,,,True,mt,lower,6,Republican,,2013-01-09 19:39:39.643000,2017-06-01 09:07:35.851000
MTL000190,Greg Hertz,Greg,,Hertz,,,True,mt,lower,12,Republican,,2013-01-09 19:39:39.697000,2017-06-01 09:07:06.386000
MTL000192,Tom Jacobson,Tom,,Jacobson,,,True,mt,lower,21,Democratic,,2013-01-09 19:39:39.774000,2017-06-01 09:07:06.446000
MTL000193,Donald Jones,Donald,,Jones,,,True,mt,lower,46,Republican,,2013-01-09 19:39:39.785000,2017-06-01 09:07:35.779000
MTL000199,Ryan Lynch,Ryan,,Lynch,,,True,mt,lower,76,Democratic,,2013-01-09 19:39:39.845000,2017-06-01 09:07:35.948000
MTL000201,Kelly McCarthy,Kelly,,McCarthy,,,True,mt,lower,49,Democratic,,2013-01-09 19:39:39.864000,2017-06-01 09:07:35.811000
MTL000211,Rae Peppers,Rae,,Peppers,,,True,mt,lower,41,Democratic,,2013-01-09 19:39:39.958000,2017-06-01 09:07:35.793000
MTL000212,Gordon Pierson,Gordon,,Pierson,,,True,mt,lower,78,Democratic,,2013-01-09 19:39:39.964000,2017-06-01 09:07:35.901000
MTL000214,Alan Redfield,Alan,,Redfield,,,True,mt,lower,59,Republican,,2013-01-09 19:39:39.998000,2017-06-01 09:07:35.926000
MTL000217,Ray Shaw,Ray,,Shaw,,,True,mt,lower,71,Republican,,2013-01-09 19:39:40.038000,2017-06-01 09:07:06.428000
MTL000218,Bridget Smith,Bridget,,Smith,,,True,mt,lower,31,Democratic,,2013-01-09 19:39:40.044000,2017-06-01 09:07:06.363000
MTL000220,Kirk Wagoner,Kirk,,Wagoner,,,True,mt,lower,75,Republican,,2013-01-09 19:39:40.088000,2017-06-01 09:07:06.412000
MTL000221,Kerry White,Kerry,,White,,,True,mt,lower,64,Republican,,2013-01-09 19:39:40.118000,2017-06-01 09:07:06.408000
MTL000225,Tom Woods,Tom,,Woods,,,True,mt,lower,62,Democratic,,2013-01-09 19:39:40.154000,2017-06-01 09:07:35.781000
MTL000226,Daniel Zolnikov,Daniel,,Zolnikov,,,True,mt,lower,45,Republican,,2013-01-09 19:39:40.161000,2017-06-01 09:07:06.371000
MTL000229,Forrest Mandeville,Forrest,,Mandeville,,,True,mt,lower,57,Republican,,2015-01-05 17:32:30.775000,2017-06-01 09:07:06.380000
MTL000230,Denise Hayman,Denise,,Hayman,,,True,mt,lower,66,Democratic,,2015-01-05 17:32:30.781000,2017-06-01 09:07:06.373000
MTL000236,George Kipp iii,George,,Kipp,iii,,True,mt,lower,15,Democratic,,2015-01-05 17:32:30.817000,2017-06-01 09:07:06.383000
MTL000237,Dale Mortensen,Dale,,Mortensen,,,True,mt,lower,44,Republican,,2015-01-05 17:32:30.822000,2017-06-01 09:07:35.904000
MTL000246,Jessica Karjala,Jessica,,Karjala,,,True,mt,lower,48,Democratic,,2015-01-05 17:32:30.889000,2017-06-01 09:07:06.395000
